Cycle,Tank,Product,Volume
050,310,M4,51688
050,311,A3,33986
050,312,D4,65663
050,313,A2,78106
050,314,A3,103982
050,315,V4,12068
050,316,A2,0
050,317,D3,140046
050,330,A3,56482
050,331,,5335
050,332,A3,107595
050,333,,4995
050,334,A3,5640
050,335,A3,4658
050,336,A3,7495
050,337,A5,2823
050,338,A3,7777
050,339,A3,16320
050,350,54,3585
050,351,,0
050,352,54,5473
050,353,54,48771
050,354,54,109656
050,360,62,60721
050,361,62,52777
050,363,51,2036
050,370,54,5940
050,371,,992
050,372,96,14782
050,373,62,85000
050,374,62,1020
050,375,62,67767
050,376,62,12234
