Tank,Bottom,Working,Maximum,Classification
310,3,87,88.98,Gas
311,3.8,108.6,111.05,Gas
312,4.3,118.6,121.37,Gas
313,4.8,136.19,139.3,Gas
314,4,108.75,111.23,Gas
316,3,87.05,89.04,Gas
317,6,135.9,139.02,Gas
330,4.3,118.62,121.33,Gas
331,3.8,108.57,111.05,Gas
332,3.7,108.51,110.99,Gas
333,4.7,119.09,121.81,Gas
334,6.3,155.63,159.18,Gas
336,3.8,108.64,111.12,Gas
337,3,87.04,89.03,Gas
338,5.3,160.06,160.06,Gas
339,6.1,172.73,172.73,Gas
350,2.5,26.95,27.39,Oil
351,5,36.45,39.11,Oil
352,5,87.4,88.83,Oil
353,5,109.49,111.28,Oil
354,12.5,123.4,125.41,Oil
360,1,60.69,61.62,Oil
361,1,109.05,110.71,Oil
363,1,36.78,39.39,Oil
370,1,48.55,49.88,Oil
371,1,113.9,116.42,Oil
373,1,156.14,158.52,Oil
374,1,156.1,158.48,Oil
375,12.5,93.65,97.13,Oil
376,12.5,113.13,117.16,Oil
