Line,Product,Tank
01,"['A3', 'D3', 'M3']",
02,"['54', '56', '62']",
13,"['54', '62', '96']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 353, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]"
14,"['62', 'A3', 'D3']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]"
15,"['A3', 'D3']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339]"
16,"['54', '56']","[350, 351, 352, 353, 354]"
17,"['62', 'A3', 'D3', 'M3']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]"
18,"['54', '62', 'A3', 'D3']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 354, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]"
19,"['A3', 'D3', 'M3']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]"
1A,"['A3', 'D3']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339]"
20,"['54', '62', '96']","[350, 351, 352, 353, 354, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]"
2A,['62'],"[350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]"
