Line,Product_x,Tank,Product_y,Is_Subset
01,"['A', 'D']",[-1],[],False
02,"['54', '62']",[-1],[],False
13,"['54', '62']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 353, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]","['A', 'D', '54', '62']",False
14,"['62', 'A', 'D']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]","['A', 'D', '54', '62']",False
15,"['A', 'D']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339]","['A', 'D']",False
16,['54'],"[350, 351, 352, 353, 354]",['54'],False
17,"['62', 'A', 'D']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]","['A', 'D', '54', '62']",False
18,"['54', '62', 'A', 'D']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 354, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]","['A', 'D', '54', '62']",False
19,"['A', 'D']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]","['A', 'D', '54', '62']",False
1A,"['A', 'D']","[310, 311, 312, 313, 314, 315, 316, 317, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339]","['A', 'D']",False
20,"['54', '62']","[350, 351, 352, 353, 354, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]","['54', '62']",False
2A,['62'],"[350, 351, 352, 360, 361, 363, 370, 371, 372, 373, 374, 375, 376]","['54', '62']",False
