Tank,Line,Product
310,13,A
310,14,A
310,15,A
310,17,A
310,18,A
310,19,A
310,1A,A
311,13,A
311,14,A
311,15,A
311,17,A
311,18,A
311,19,A
311,1A,A
312,13,D
312,14,D
312,15,D
312,17,D
312,18,D
312,19,D
312,1A,D
313,13,A
313,14,A
313,15,A
313,17,A
313,18,A
313,19,A
313,1A,A
314,13,A
314,14,A
314,15,A
314,17,A
314,18,A
314,19,A
314,1A,A
316,13,D
316,14,D
316,15,D
316,17,D
316,18,D
316,19,D
316,1A,D
317,13,A
317,14,A
317,15,A
317,17,A
317,18,A
317,19,A
317,1A,A
330,13,A
330,14,A
330,15,A
330,17,A
330,18,A
330,19,A
330,1A,A
331,13,A
331,14,A
331,15,A
331,17,A
331,18,A
331,19,A
331,1A,A
332,13,A
332,14,A
332,15,A
332,17,A
332,18,A
332,19,A
332,1A,A
333,13,A
333,14,A
333,15,A
333,17,A
333,18,A
333,19,A
333,1A,A
334,13,A
334,14,A
334,15,A
334,17,A
334,18,A
334,19,A
334,1A,A
336,13,A
336,14,A
336,15,A
336,17,A
336,18,A
336,19,A
336,1A,A
337,13,D
337,14,D
337,15,D
337,17,D
337,18,D
337,19,D
337,1A,D
338,13,A
338,14,A
338,15,A
338,17,A
338,18,A
338,19,A
338,1A,A
339,13,A
339,14,A
339,15,A
339,17,A
339,18,A
339,19,A
339,1A,A
350,13,54
350,14,54
350,16,54
350,17,54
350,18,54
350,19,54
350,20,54
350,2A,54
351,13,54
351,14,54
351,16,54
351,17,54
351,18,54
351,19,54
351,20,54
351,2A,54
352,13,54
352,14,54
352,16,54
352,17,54
352,18,54
352,19,54
352,20,54
352,2A,54
353,13,54
353,16,54
353,20,54
354,16,54
354,18,54
354,20,54
360,13,62
360,14,62
360,17,62
360,18,62
360,19,62
360,20,62
360,2A,62
361,13,62
361,14,62
361,17,62
361,18,62
361,19,62
361,20,62
361,2A,62
363,13,62
363,14,62
363,17,62
363,18,62
363,19,62
363,20,62
363,2A,62
370,13,54
370,14,54
370,17,54
370,18,54
370,19,54
370,20,54
370,2A,54
371,13,62
371,14,62
371,17,62
371,18,62
371,19,62
371,20,62
371,2A,62
373,13,62
373,14,62
373,17,62
373,18,62
373,19,62
373,20,62
373,2A,62
374,13,62
374,14,62
374,17,62
374,18,62
374,19,62
374,20,62
374,2A,62
375,13,62
375,14,62
375,17,62
375,18,62
375,19,62
375,20,62
375,2A,62
376,13,62
376,14,62
376,17,62
376,18,62
376,19,62
376,20,62
376,2A,62
