Tank,Type,Out of Service,Volume,Low Level,Normal Fill,Max Capacity,Product,Pipelines Working Tank,Timestamp,Comments
310,Gasoline,Yes,51688,3007,88410,91240,A,,3/28/2024 3:23:11 PM, 
311,Gasoline,No,33986,3840,111889,114364,A,,3/28/2024 3:23:11 PM,
312,Gasoline,No,65663,3623,120729,123418,D,,3/28/2024 3:23:11 PM,
313,Gasoline,No,78106,4700,138784,141560,A,,3/28/2024 3:23:11 PM,
314,Gasoline,No,103982,3935,110884,113360,A,,3/28/2024 3:23:11 PM,
315,Gasoline,No,12068,2982,86992,89599,A,,3/28/2024 3:23:11 PM,
316,Gasoline,No,0,3640,86513,89093,A,01,3/28/2024 3:23:11 PM,
317,Gasoline,No,140046,6014,140222,143017,D,,3/28/2024 3:23:11 PM, 
330,Gasoline,No,56482,4817,120270,122965,A,,3/28/2024 3:23:11 PM, 
332,Gasoline,No,107595,1959,109027,111489,A,,3/28/2024 3:23:11 PM,
334,Gasoline,No,5640,6197,157138,159958,A,,3/28/2024 3:23:11 PM,
335,Gasoline,No,4658,4129,123017,125718,A,,3/28/2024 3:23:11 PM,
336,Gasoline,No,7495,3735,111258,113731,A,,3/28/2024 3:23:11 PM,
337,Gasoline,No,2823,3966,86765,89364,A,,3/28/2024 3:23:11 PM,
338,Gasoline,No,7777,5927,155542,166521,A,,3/28/2024 3:23:11 PM,
339,Gasoline,No,16320,6334,165154,172988,A,,3/28/2024 3:23:11 PM,
350,Kerosene,No,3585,989,24542,26346,54,,3/28/2024 3:23:11 PM,
352,Kerosene,No,5473,4962,85402,87601,54,,3/28/2024 3:23:11 PM,
353,Kerosene,No,48771,4950,115036,117527,54,,3/28/2024 3:23:11 PM,
354,Kerosene,No,109656,13564,116937,119382,54,,3/28/2024 3:23:11 PM,
360,Oil,No,60721,991,60902,62986,62,,3/28/2024 3:23:11 PM,
361,Oil,No,52777,992,114470,116965,62,,3/28/2024 3:23:11 PM,
363,Kerosene,No,2036,991,36930,38799,54,,3/28/2024 3:23:11 PM,
370,Kerosene,No,5940,992,48472,50387,54,,3/28/2024 3:23:11 PM,
372,Transmix,No,14782,980,55197,62053,62,,3/28/2024 3:23:11 PM,
373,Oil,No,85000,993,166840,169330,62,2A,3/28/2024 3:23:11 PM,
374,Oil,Yes,1020,990,166998,169483,62,,3/28/2024 3:23:11 PM,
375,Oil,No,67767,10839,94007,96210,62,,3/28/2024 3:23:11 PM,
376,Oil,No,12234,13080,113522,116015,62,,3/28/2024 3:23:11 PM,
