Cycle,Line,Product,Volume
031,13,54,6
031,13,62,58
031,14,62,24
031,14,A,144
031,15,A,196
031,15,D,79
031,16,54,127
031,17,A,156
031,18,54,12
031,18,62,60
031,18,A,381
031,18,D,43
031,19,A,389
031,19,D,56
031,1A,A,52
031,1A,D,9
031,20,54,35
031,20,62,30
031,2A,62,13
041,13,54,29
041,13,62,116
041,14,62,50
041,14,A,128
041,14,D,30
041,15,A,290
041,15,D,79
041,16,54,215
041,17,62,49
041,17,A,283
041,18,54,5
041,18,62,235
041,18,A,423
041,18,D,15
041,19,A,407
041,19,D,45
041,1A,A,93
041,1A,D,8
041,20,54,50
041,20,62,61
041,2A,62,33
051,13,62,103
051,14,62,68
051,14,A,133
051,14,D,33
051,15,A,278
051,15,D,63
051,16,54,227
051,17,A,53
051,18,54,20
051,18,62,237
051,18,A,340
051,18,D,28
051,19,A,394
051,19,D,65
051,1A,A,38
051,1A,D,8
051,20,54,38
051,20,62,66
051,2A,62,3
061,13,54,29
061,13,62,133
061,14,62,59
061,14,A,125
061,14,D,39
061,15,A,187
061,15,D,73
061,16,54,236
061,17,62,224
061,17,A,251
061,17,D,18
061,18,54,6
061,18,62,251
061,18,A,383
061,18,D,24
061,19,62,25
061,19,A,285
061,19,D,47
061,1A,A,41
061,1A,D,10
061,20,54,48
061,20,62,93
061,2A,62,33
071,13,62,137
071,14,62,56
071,14,A,93
071,14,D,29
071,15,A,315
071,15,D,43
071,16,54,247
071,17,62,190
071,17,A,238
071,18,54,11
071,18,62,248
071,18,A,240
071,18,D,33
071,19,A,251
071,19,D,35
071,1A,A,39
071,1A,D,9
071,20,54,43
071,20,62,56
071,2A,62,13
081,13,54,21
081,13,62,121
081,14,62,64
081,14,A,140
081,14,D,22
081,15,A,237
081,15,D,69
081,16,54,202
081,17,62,148
081,17,A,211
081,18,54,12
081,18,62,218
081,18,A,391
081,18,D,25
081,19,A,386
081,19,D,49
081,1A,A,61
081,1A,D,5
081,20,54,38
081,20,62,43
081,2A,62,18
